,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.099056604,0.105882353,0.153508772,0.088888889,0.065217391,0.071005917,0.094117647,0.071428571,0.1,0.120218579,0.098265896,0.080924855,0.071428571,0.092715232,0.073825503,0.086734694,0.076086957,0.076502732,0.121212121,0.071428571,0.071428571,0.073863636,0.071005917,0.075581395,0.068322981,0.062827225,0.081871345,0.125,0.12849162,0.069767442
1,0.094339623,0.1,0.135964912,0.072222222,0.065217391,0.071005917,0.070588235,0.064935065,0.068421053,0.071038251,0.086705202,0.069364162,0.06122449,0.072847682,0.060402685,0.081632653,0.070652174,0.06557377,0.078787879,0.064935065,0.064935065,0.073863636,0.071005917,0.069767442,0.068322981,0.062827225,0.064327485,0.072368421,0.067039106,0.062015504
2,0.080188679,0.064705882,0.078947368,0.072222222,0.065217391,0.071005917,0.064705882,0.064935065,0.068421053,0.06557377,0.069364162,0.063583815,0.06122449,0.066225166,0.060402685,0.071428571,0.059782609,0.06557377,0.054545455,0.064935065,0.064935065,0.0625,0.065088757,0.063953488,0.068322981,0.062827225,0.058479532,0.052631579,0.061452514,0.062015504
3,0.075471698,0.064705882,0.061403509,0.072222222,0.065217391,0.071005917,0.064705882,0.064935065,0.063157895,0.06010929,0.063583815,0.063583815,0.06122449,0.066225166,0.060402685,0.066326531,0.059782609,0.054644809,0.054545455,0.064935065,0.058441558,0.0625,0.065088757,0.058139535,0.062111801,0.057591623,0.052631579,0.052631579,0.055865922,0.054263566
4,0.061320755,0.058823529,0.048245614,0.066666667,0.057971014,0.059171598,0.058823529,0.058441558,0.063157895,0.054644809,0.057803468,0.057803468,0.051020408,0.059602649,0.053691275,0.06122449,0.059782609,0.054644809,0.048484848,0.058441558,0.058441558,0.0625,0.059171598,0.058139535,0.062111801,0.057591623,0.052631579,0.052631579,0.055865922,0.054263566
5,0.056603774,0.052941176,0.043859649,0.055555556,0.057971014,0.059171598,0.052941176,0.058441558,0.057894737,0.054644809,0.052023121,0.057803468,0.051020408,0.059602649,0.053691275,0.06122449,0.054347826,0.054644809,0.048484848,0.051948052,0.058441558,0.0625,0.059171598,0.052325581,0.055900621,0.057591623,0.052631579,0.046052632,0.055865922,0.054263566
6,0.051886792,0.052941176,0.043859649,0.055555556,0.050724638,0.059171598,0.052941176,0.058441558,0.057894737,0.049180328,0.052023121,0.057803468,0.051020408,0.052980132,0.053691275,0.056122449,0.054347826,0.054644809,0.048484848,0.051948052,0.058441558,0.056818182,0.059171598,0.052325581,0.055900621,0.052356021,0.052631579,0.046052632,0.05027933,0.054263566
7,0.051886792,0.047058824,0.043859649,0.05,0.050724638,0.047337278,0.052941176,0.058441558,0.052631579,0.049180328,0.052023121,0.052023121,0.051020408,0.052980132,0.053691275,0.056122449,0.048913043,0.054644809,0.048484848,0.051948052,0.058441558,0.051136364,0.053254438,0.052325581,0.055900621,0.052356021,0.052631579,0.046052632,0.05027933,0.054263566
8,0.051886792,0.047058824,0.039473684,0.05,0.043478261,0.047337278,0.047058824,0.051948052,0.052631579,0.049180328,0.046242775,0.052023121,0.051020408,0.046357616,0.053691275,0.051020408,0.048913043,0.049180328,0.048484848,0.051948052,0.051948052,0.051136364,0.053254438,0.046511628,0.049689441,0.052356021,0.052631579,0.046052632,0.044692737,0.046511628
9,0.047169811,0.047058824,0.039473684,0.044444444,0.043478261,0.047337278,0.047058824,0.051948052,0.052631579,0.043715847,0.046242775,0.046242775,0.051020408,0.046357616,0.053691275,0.045918367,0.048913043,0.049180328,0.048484848,0.045454545,0.045454545,0.051136364,0.053254438,0.046511628,0.049689441,0.047120419,0.046783626,0.046052632,0.044692737,0.046511628
10,0.047169811,0.041176471,0.035087719,0.044444444,0.043478261,0.047337278,0.047058824,0.045454545,0.042105263,0.043715847,0.046242775,0.046242775,0.051020408,0.046357616,0.046979866,0.045918367,0.043478261,0.049180328,0.048484848,0.045454545,0.045454545,0.045454545,0.047337278,0.046511628,0.049689441,0.047120419,0.046783626,0.046052632,0.044692737,0.046511628
11,0.04245283,0.041176471,0.035087719,0.044444444,0.043478261,0.041420118,0.047058824,0.045454545,0.042105263,0.043715847,0.040462428,0.040462428,0.051020408,0.039735099,0.046979866,0.035714286,0.043478261,0.049180328,0.042424242,0.045454545,0.045454545,0.045454545,0.047337278,0.046511628,0.043478261,0.047120419,0.046783626,0.046052632,0.044692737,0.046511628
12,0.033018868,0.041176471,0.035087719,0.044444444,0.043478261,0.041420118,0.041176471,0.045454545,0.036842105,0.043715847,0.040462428,0.040462428,0.051020408,0.039735099,0.046979866,0.035714286,0.043478261,0.043715847,0.042424242,0.045454545,0.045454545,0.039772727,0.047337278,0.046511628,0.043478261,0.047120419,0.046783626,0.046052632,0.044692737,0.046511628
13,0.033018868,0.041176471,0.030701754,0.038888889,0.043478261,0.041420118,0.041176471,0.038961039,0.036842105,0.038251366,0.040462428,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.043715847,0.042424242,0.045454545,0.038961039,0.039772727,0.041420118,0.040697674,0.043478261,0.047120419,0.046783626,0.039473684,0.039106145,0.046511628
14,0.033018868,0.035294118,0.030701754,0.038888889,0.043478261,0.041420118,0.041176471,0.038961039,0.036842105,0.038251366,0.034682081,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.043715847,0.042424242,0.045454545,0.038961039,0.039772727,0.035502959,0.040697674,0.037267081,0.047120419,0.046783626,0.039473684,0.039106145,0.046511628
15,0.028301887,0.035294118,0.030701754,0.033333333,0.043478261,0.041420118,0.035294118,0.038961039,0.036842105,0.038251366,0.034682081,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.038251366,0.036363636,0.038961039,0.038961039,0.039772727,0.035502959,0.040697674,0.037267081,0.041884817,0.040935673,0.039473684,0.039106145,0.046511628
16,0.028301887,0.035294118,0.030701754,0.033333333,0.043478261,0.035502959,0.035294118,0.038961039,0.036842105,0.038251366,0.034682081,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.038251366,0.036363636,0.038961039,0.038961039,0.039772727,0.035502959,0.040697674,0.037267081,0.041884817,0.040935673,0.039473684,0.033519553,0.046511628
17,0.028301887,0.029411765,0.030701754,0.033333333,0.043478261,0.035502959,0.035294118,0.038961039,0.031578947,0.032786885,0.034682081,0.040462428,0.040816327,0.033112583,0.040268456,0.035714286,0.038043478,0.038251366,0.036363636,0.038961039,0.038961039,0.034090909,0.035502959,0.040697674,0.037267081,0.041884817,0.040935673,0.039473684,0.033519553,0.03875969
18,0.028301887,0.029411765,0.026315789,0.033333333,0.043478261,0.035502959,0.035294118,0.032467532,0.031578947,0.032786885,0.034682081,0.034682081,0.040816327,0.033112583,0.040268456,0.035714286,0.038043478,0.038251366,0.036363636,0.038961039,0.038961039,0.034090909,0.035502959,0.040697674,0.037267081,0.036649215,0.040935673,0.039473684,0.033519553,0.03875969
19,0.028301887,0.029411765,0.026315789,0.027777778,0.043478261,0.035502959,0.035294118,0.032467532,0.031578947,0.032786885,0.034682081,0.034682081,0.040816327,0.033112583,0.040268456,0.030612245,0.038043478,0.038251366,0.036363636,0.038961039,0.038961039,0.034090909,0.029585799,0.040697674,0.037267081,0.036649215,0.035087719,0.039473684,0.033519553,0.03875969
